Time,Conv Layers,Dense_layers,Dropout Rate,L2 Rate,Accuracy
2025-03-26 17:43:13.723197,3,128,0.0,0.06,0.8715492874383927
2025-03-26 17:44:32.829770,3,128,0.01,0.06,0.8087323874235153
2025-03-26 17:46:02.384986,3,128,0.02,0.06,0.9158350110054017
2025-03-26 17:47:20.213031,3,128,0.03,0.06,0.8306036114692688
2025-03-26 17:48:56.505526,3,128,0.04,0.06,0.859175044298172
2025-03-26 17:50:49.996275,3,128,0.05,0.06,0.9215694010257721
2025-03-26 17:52:14.975320,3,128,0.06,0.06,0.8758752405643463
2025-03-26 17:53:58.719999,3,128,0.07,0.06,0.8630382239818573
2025-03-26 17:55:25.950661,3,128,0.08,0.06,0.8844466805458069
2025-03-26 17:56:52.842176,3,128,0.09,0.06,0.8829778611660004
2025-03-26 17:58:25.865986,3,128,0.1,0.06,0.8587323904037476
2025-03-26 17:59:53.085547,3,128,0.11,0.06,0.8872836947441101
2025-03-26 18:01:35.978635,3,128,0.12,0.06,0.8543863117694854
2025-03-26 18:03:27.924734,3,128,0.13,0.06,0.9029778599739074
2025-03-26 18:05:22.091565,3,128,0.14,0.06,0.8958551228046417
2025-03-26 18:06:50.267439,3,128,0.15,0.06,0.8444265455007554
2025-03-26 18:08:10.055743,3,128,0.16,0.06,0.8630181014537811
2025-03-26 18:09:46.921724,3,128,0.17,0.06,0.814889320731163
2025-03-26 18:11:35.189146,3,128,0.18,0.06,0.893018102645874
2025-03-26 18:13:17.445702,3,128,0.19,0.06,0.8673440635204315
2025-03-26 18:14:55.998119,3,128,0.2,0.06,0.9001408398151398
2025-03-26 18:17:17.178494,3,128,0.21,0.06,0.9130784630775451
2025-03-26 18:18:54.632890,3,128,0.22,0.06,0.8887122631072998
2025-03-26 18:20:55.267464,3,128,0.23,0.06,0.8872434556484222
2025-03-26 18:22:37.735037,3,128,0.24,0.06,0.9116297721862793
2025-03-26 18:24:24.013148,3,128,0.25,0.06,0.9229979753494263
2025-03-26 18:26:09.238172,3,128,0.26,0.06,0.9215694010257721
2025-03-26 18:27:59.206749,3,128,0.27,0.06,0.8715492904186248
2025-03-26 18:29:46.101239,3,128,0.28,0.06,0.8858349919319153
2025-03-26 18:31:26.784749,3,128,0.29,0.06,0.8601609528064728
2025-03-26 18:33:05.812137,3,128,0.3,0.06,0.9315694153308869
2025-03-26 18:35:05.049746,3,128,0.31,0.06,0.9044265508651733
2025-03-26 18:36:48.381366,3,128,0.32,0.06,0.9201609492301941
2025-03-26 18:38:40.343222,3,128,0.33,0.06,0.9286921381950378
2025-03-26 18:40:38.692332,3,128,0.34,0.06,0.9072434604167938
2025-03-26 18:42:34.758356,3,128,0.35,0.06,0.9186720252037048
2025-03-26 18:44:26.271892,3,128,0.36,0.06,0.9158551216125488
2025-03-26 18:46:03.454721,3,128,0.37,0.06,0.8529979884624481
2025-03-26 18:47:55.649923,3,128,0.38,0.06,0.8715694129467011
2025-03-26 18:49:38.749663,3,128,0.39,0.06,0.8630583465099335
2025-03-26 18:51:20.296568,3,128,0.4,0.06,0.8729577422142029
2025-03-26 18:53:06.890625,3,128,0.41,0.06,0.8744064301252366
2025-03-26 18:54:59.553779,3,128,0.42,0.06,0.9215895295143127
2025-03-26 18:57:02.984384,3,128,0.43,0.06,0.872977864742279
2025-03-26 18:59:07.902849,3,128,0.44,0.06,0.9328973710536956
2025-03-26 19:01:14.909198,3,128,0.45,0.06,0.9272836923599244
2025-03-26 19:03:07.440751,3,128,0.46,0.06,0.9030180931091308
2025-03-26 19:04:54.127774,3,128,0.47,0.06,0.9173038125038147
2025-03-26 19:06:54.556254,3,128,0.48,0.06,0.8972836911678315
2025-03-26 19:08:43.275268,3,128,0.49,0.06,0.8944064259529114
2025-03-26 19:10:55.042596,3,128,0.5,0.06,0.8887122690677642
